"p_id","wave_id","begin_datetime","end_datetime","age","gend","gend_specify","hispanic","race","race_specify","current_zip","current_lngth","adults","children","ok_lngth","home_lot","concern_water_availability","concern_water_quality","concern_water_cost","concern_land_wildlife","concern_land_soil","concern_infra_electricity","concern_infra_transportation","rank_water_availability","rank_water_quality","rank_water_cost","rank_land_wildlife","rank_land_soil","rank_infra_electricity","rank_infra_transportation","risk_tornado","risk_hail","risk_wind","risk_lightning","risk_flood","risk_snow_ice","experience_tornado","experience_hail","experience_wind","experience_lightning","experience_flood","experience_snow_ice","future_tornado","future_hail","future_wind","future_lightning","future_flood","future_snow_ice","risk_flash_drought","risk_pluvial","risk_heat_wave","risk_cold_spell","experience_flash_drought","experience_pluvial","experience_heat_wave","experience_cold_spell","future_flash_drought","future_pluvial","future_heat_wave","future_cold_spell","risk_long_drought","experience_long_drought","future_long_drought","risk_wildfire","risk_earthquake","experience_wildfire","experience_earthquake","future_wildfire","future_earthquake","s2s_aware","s2s_access","wthr_info_paper","wthr_info_web","wthr_info_govweb","wthr_info_loctv","wthr_info_cabtv","wthr_info_radio","wthr_info_fam","wthr_info_soc","wthr_info_phone","s2s_use","s2s_trust","s2s_reliable","s2s_detail","s2s_access_no_fnd","s2s_access_no_inacc","s2s_access_no_rel","s2s_access_no_int","s2s_access_no_oth","s2s_access_oth_spec","cpc_image_rand","cpc_see","cpc_int_sub","cpc_int_obj","cpc_use","cpc_int_no_why","cpc_use_no_fnd","cpc_access_no_inacc","cpc_access_no_rel","cpc_access_no_int","cpc_access_no_oth","cpc_access_oth_spec","s2s_vote_gov","s2s_bid","s2s_wtp","s2s_wtp_con_yes","s2s_wtp_con_no","s2s_comm_agnst","s2s_comm_unsur","s2s_passed","glbcc","glbcc_cert","glbcc_risk","glbwrm_ok","rate_family","rate_social","rate_health","rate_ment","rate_finances","rate_home_val","rate_savings","rate_environment","rate_roads","sf_pcl_reliving","sf_pcl_avoid_reminders","sf_pcl_distant","sf_pcl_irritable","fut_hlth_srvy","trust_policy","trust_agencies","trust_private","party","party_spec","iden","lean","ideol","vote_loc","talk_politics_friends","talk_politics_strangers","att_politics","role_policy","role_science","role_public","role_business","role_nonprofit","education","inc","income_people","inc50","inc100","inc150","inc200","smartphone","citizen_science","is_fieldphotoinvite","norman_area","cinr_participate","cinr_preference","study_area","region","ocwp_region"
"SNCNM417","S3OK Wave 5 (Spring 2024)",1708518906,1708520253,65,1,NA,0,1,NA,73726,2,1,0,60,3,1,4,2,1,1,1,2,1,2,4,5,3,6,7,4,4,4,4,3,3,0,0,1,1,0,1,4,2,4,3,4,4,3,2,3,3,0,0,1,1,3,2,4,3,3,0,4,4,2,0,0,4,3,2,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,"word",0,3,4,3,NA,0,0,0,0,0,NA,4,79,0,NA,10,"we pay to much in taxes now",NA,3,0,6,5,2,3,2,2,3,3,3,3,4,3,1,1,1,2,1,2,2,3,3,NA,NA,3,4,1,2,1,3,10,"30",10,30,20,2,1,1,2,NA,NA,NA,1,0,0,NA,NA,NA,"Outside Little River Watershed","Oklahoma City","Central"
"R_vNQJDfHJ4GiVFBL","S3OK Wave 5 (Spring 2024)",1708519129,1708519988,42,0,NA,0,1,NA,73057,7,4,5,20,3,1,5,4,4,3,2,2,3,1,2,7,4,6,5,4,2,2,3,2,3,1,0,0,1,1,1,4,3,4,3,4,4,3,3,4,2,0,0,0,1,3,3,4,3,2,0,3,3,1,0,0,3,3,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,"percent",2,2,5,3,"All of it",0,0,0,0,0,NA,4,30,1,3,NA,NA,NA,4,0,0,3,2,3,2,3,3,3,3,2,3,3,1,2,2,1,1,2,3,2,3,NA,NA,3,4,0,1,1,1,7,"15",60,8,10,4,2,3,NA,10,NA,NA,1,1,1,NA,NA,NA,"Outside Little River Watershed","South East","Lower Washita"
"SOKCNM894","S3OK Wave 5 (Spring 2024)",1708519293,1708520502,77,1,NA,0,1,NA,73034,36,2,0,48,2,4,2,1,5,4,3,5,4,5,7,3,6,2,1,3,5,4,3,4,4,0,0,1,1,0,0,2,4,3,3,4,3,4,3,5,2,1,0,0,1,5,3,5,3,4,1,5,4,3,0,1,5,3,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,1,0,0,NA,"word",0,4,4,1,NA,1,0,1,0,0,NA,4,47,1,5,NA,NA,NA,4,1,9,10,1,5,5,3,5,5,5,5,4,1,1,1,1,1,1,1,3,2,1,NA,2,NA,2,1,5,3,5,10,"60",15,5,10,7,3,2,NA,NA,15,NA,1,1,1,NA,NA,NA,"Outside Little River Watershed","Oklahoma City","Central"
"R_2WVA2rDvFUxumHF","S3OK Wave 5 (Spring 2024)",1708519459,1708520142,41,0,NA,0,1,NA,74653,0,1,0,18,3,2,5,2,2,2,2,2,4,1,5,2,3,6,7,5,4,5,4,4,2,1,1,1,1,1,1,4,4,4,4,4,4,4,3,5,3,1,0,0,1,4,4,4,4,3,1,5,3,3,0,0,4,4,2,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,"word",2,3,5,1,NA,0,1,0,0,0,NA,1,3,NA,NA,NA,"it still wouldnt be accurate


",NA,2,0,3,4,0,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,3,NA,NA,3,4,0,1,1,1,0,"10",50,10,30,6,1,1,5,NA,NA,NA,1,1,1,NA,NA,NA,"Outside Little River Watershed","Oklahoma City","Upper Arkansas"
"R_3rYs10YQQodRFM5","S3OK Wave 5 (Spring 2024)",1708519730,1708524276,40,0,NA,0,1,NA,73160,17,2,2,40,2,1,4,2,4,2,5,2,5,1,6,3,4,2,7,4,3,4,3,3,2,0,0,1,1,0,1,4,3,4,3,4,2,5,2,5,4,1,0,0,1,4,2,4,3,3,0,4,3,2,0,0,4,3,1,3,0,1,1,1,0,0,0,0,0,"To just know what the weather is gonna be like",2,2,2,0,0,0,0,0,NA,"word",1,3,4,4,NA,0,0,0,0,0,NA,5,19,1,10,NA,NA,NA,4,1,7,7,1,3,2,3,3,1,1,1,3,2,2,4,3,2,1,1,2,1,1,NA,2,NA,1,1,3,3,4,5,"80",5,0,10,2,1,1,5,NA,NA,NA,1,1,1,1,1,2,"Inside Little River Watershed","Oklahoma City","Central"
"STUNM3318","S3OK Wave 5 (Spring 2024)",1708521848,1708523202,62,1,NA,0,1,NA,74471,3,4,0,34,3,2,2,2,2,2,2,2,5,4,6,7,2,3,1,3,3,3,2,3,3,0,0,1,1,0,1,3,3,3,3,3,4,3,3,3,3,0,0,0,1,3,3,3,4,3,0,3,3,2,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,1,0,0,NA,"percent",1,5,4,1,NA,0,1,1,0,0,NA,2,25,NA,NA,NA,"The cost does not justify the potential benefits.  In any case, there is some lower priority item that should have its funding reduced to pay for the improved medium range weather forcasting.",NA,2,0,5,2,0,4,3,3,4,5,3,4,5,4,2,2,1,2,1,3,4,3,2,NA,2,NA,7,1,5,1,3,40,"30",10,10,10,8,2,2,NA,10,NA,NA,1,0,0,NA,NA,NA,"Outside Little River Watershed","Tulsa","Lower Arkansas"
"Nm-W110478","S3OK Wave 5 (Spring 2024)",1708522339,1708523269,68,1,NA,0,1,NA,73013,23,2,0,60,2,2,4,3,2,4,3,4,5,3,7,6,4,1,2,5,3,5,3,3,4,0,0,1,1,0,1,4,4,4,4,4,4,3,2,5,2,0,0,0,1,3,3,4,4,4,0,4,4,2,0,1,4,3,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,"percent",0,2,4,2,"I didn't pay close enough attention to the heading,, which states that it is forecasting temperature.",0,1,0,0,0,NA,4,19,1,6,NA,NA,NA,2,0,8,4,0,4,3,4,4,4,4,3,3,2,1,1,3,3,1,2,2,2,2,NA,2,NA,6,1,3,1,3,20,"30",20,20,10,2,2,2,NA,8,NA,NA,1,0,0,NA,NA,NA,"Outside Little River Watershed","Oklahoma City","Central"
"SNCPH47","S3OK Wave 5 (Spring 2024)",1708523014,1708524777,76,1,NA,0,1,NA,73703,4,3,0,76,2,2,2,2,1,1,1,1,4,1,3,7,6,5,2,1,1,4,1,1,1,0,0,1,0,0,0,3,3,4,3,3,4,2,2,3,1,0,0,0,1,3,4,4,4,4,0,4,2,3,0,0,3,4,1,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,NA,"word",1,3,4,2,NA,0,0,0,0,1,"n a for my life",5,5,1,7,NA,NA,NA,2,0,6,4,0,5,4,4,4,5,4,5,5,2,1,1,1,1,1,5,5,5,1,NA,1,NA,6,1,2,1,3,20,"20",10,40,10,6,2,2,NA,7,NA,NA,0,0,0,NA,NA,NA,"Outside Little River Watershed","North Central","Upper Arkansas"
"R_2zwIVnpfEKMcK8m","S3OK Wave 5 (Spring 2024)",1708524101,1708524710,22,1,NA,0,1,NA,73651,0,2,3,22,2,5,5,NA,5,4,5,5,2,1,4,6,7,3,5,5,4,5,4,4,4,0,1,1,1,1,1,3,3,3,3,4,3,4,4,5,5,0,0,1,1,4,4,4,2,4,0,4,2,2,0,0,3,3,1,4,0,0,0,0,0,0,0,1,1,"Planning outdoor activities, grocery shop",3,4,4,0,0,0,0,0,NA,"percent",1,4,4,3,NA,0,0,0,0,0,NA,3,24,NA,NA,NA,NA,"Need more information ",4,1,NA,NA,NA,4,3,3,5,3,NA,1,3,2,1,1,1,1,1,2,2,1,1,NA,1,NA,2,0,1,1,1,10,"30",20,10,30,4,1,2,2,NA,NA,NA,1,1,1,NA,NA,NA,"Outside Little River Watershed","South West","West Central"
"R_Oja3YGDIotcV3oJ","S3OK Wave 5 (Spring 2024)",1708524230,1708525716,42,0,NA,0,1,NA,73034,4,2,2,42,2,1,4,2,2,2,2,3,7,3,4,6,5,1,2,5,4,5,4,4,4,0,0,0,1,0,1,3,3,3,3,4,4,4,3,4,3,0,0,0,0,3,3,4,4,3,0,3,3,3,0,1,3,3,2,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,"word",1,2,4,3,"Well, I understand it, I just don't know how much I trust it. I feel like things can change quickly and so it's more a matter of trust. ",0,0,0,0,0,NA,3,90,NA,NA,NA,NA,"I just would need to see some evidence regarding its historic accuracy.",4,1,6,6,2,3,3,3,3,4,4,4,3,3,1,2,2,2,1,3,3,2,3,NA,NA,1,3,1,3,2,4,20,"30",30,5,15,6,3,2,NA,NA,12,NA,1,0,0,NA,NA,NA,"Outside Little River Watershed","Oklahoma City","Central"
"Nm-W109934","S3OK Wave 5 (Spring 2024)",1708526070,1708536176,69,0,NA,0,3,NA,73135,9,2,0,56,1,4,4,4,4,4,4,2,3,2,5,6,7,4,1,4,5,4,5,3,3,0,1,1,1,0,0,3,5,5,5,NA,2,5,3,5,3,1,1,1,0,5,4,5,4,4,0,4,5,4,0,1,5,4,1,3,0,0,1,1,0,0,1,0,0,"For gardening and for taking care of my lawn",4,NA,5,0,0,0,0,0,NA,"word",1,4,4,4,NA,0,0,0,0,0,NA,5,57,1,10,NA,NA,NA,5,1,10,10,1,5,4,2,5,5,5,5,4,3,1,1,1,3,1,2,3,1,1,NA,2,NA,2,1,3,4,4,5,"40",10,25,20,2,2,2,NA,6,NA,NA,1,1,1,1,2,1,"Outside Little River Watershed","Oklahoma City","Central"
